Date,Time,X_Drift,Y_Drift,Z_Drift
20260625,17:07:52,-0.0081,0.0393,0.0277
20260625,17:10:43,-0.0084,0.0396,0.028
20260625,17:13:33,-0.0087,0.0402,0.028
20260625,17:16:24,-0.0081,0.0399,0.0283
20260625,17:19:15,-0.0076,0.04,0.0284
20260625,17:22:05,-0.0082,0.0407,0.0287
20260625,17:24:56,-0.0077,0.0415,0.0284
20260625,17:27:46,-0.0079,0.0415,0.0287
20260625,17:30:37,-0.0075,0.0412,0.0285
20260625,17:33:28,-0.0071,0.0412,0.0288
20260625,17:36:19,-0.0075,0.0416,0.0288
20260625,17:39:09,-0.0072,0.0415,0.0286
20260625,17:42:00,-0.0068,0.0418,0.0288
20260625,17:44:50,-0.0071,0.0419,0.0293
20260625,17:47:41,-0.0075,0.0422,0.029
20260625,17:50:32,-0.0071,0.0427,0.0291
20260625,17:53:22,-0.0074,0.0435,0.029
20260625,17:56:13,-0.0074,0.0432,0.0292
20260625,17:59:04,-0.0068,0.0435,0.0292
20260625,18:01:54,-0.0075,0.0426,0.0291
